objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
6064,6064.jpg,,,Model Sled,Nueva Ecija Province,1905-11-15,"Model native sled with carabo and driver. Locality: Nueva Ecija, Philippine
Islands.",sled;cart;carabao;man;,Nueva Ecija Province,15.45221391,121.0757393,"Philippine Collection, Burke Museum of Natural History and Culture, University of Washington",6064,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
2024-30_1,barbie!.jpg,,,Doll,Philippines,2024,"Female fabric doll from the Philippines. Doll has dark beige skin and black hair, face painted on with detailed eyes, thick eyebrows, nostrils, and red lips. She wears a traditional Philippine costume, known as Filipiniana, or terno. It is characterized by ""butterfly sleeves"" which over-accentuate one's shoulders. The Filipiniana dress is made out of terracotta-colored (red-orange) lace with a skirt slit down the center. She wears yellow heeled slippers, which acts also as a mount to a square wooden base. The doll also wears faux pearl jewelry, such as a white necklace and droplet earrings. Her arms are able to bend with some inner wire construction, and one hand holds a fan, or pamaypay in Tagalog. Her hair is adorned with red-orange sequins.",woman;dress,"Seattle, Washington",47.5915838,-122.3219452,"Philippine Collection, Burke Museum of Natural History and Culture, University of Washington",2024-30/1,Image;StillImage,image/jpeg,eng,Public domain,
coll003,,,,,,,,,,,,,,,,,,
coll004,,,,,,,,,,,,,,,,,,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
